id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
73124602,7494611465205,Bình Giữ Nhiệt Thép Không Gỉ Vacuum Bottle Lock&Lock LHC6180FU (800ml) thiết kế xách tay dễ dàng cho việc mang theo. Màu sắc nổi bật mang đển cảm giác trẻ trung khi sử dụng.Bình giữ nhiệt mang tí...,336000,677000,,341000,50,6574,,available,,1000,1000,,48077,LocknLock
53583472,4451468802389,"Bộ Hộp Cơm Giữ Nhiệt Lock&Lock Easy Carry 2L LHC8039 Có Túi (1 Hộp 720ml, 2 Hộp 420ml Kèm 1 Bộ Muỗng Và Nĩa) được làm bằng chất liệu thép không gỉ cao cấp, không những bền chắc mà còn mang lại hi...",824000,1667000,,843000,51,2455,,available,,1000,1000,,48077,LocknLock
83412126,2186358773080,Bình Giữ Nhiệt Lock&Lock Energetic One-Touch Tumbler LHC3249 - 550ML với thiết kế nắp mở một chạm dễ dàng: Đẩy sang trái để mở khóa đồng thời mở nắp.Miệng cốc rộng: Dễ dàng thêm đá viên và chùi ...,261000,528000,,267000,51,3179,,available,,1000,1000,,48077,LocknLock
58804363,7785294673323,"Lực băm nghiền mạnh nhờ hoạt động bằng phương pháp xoay và ba lưỡi dao bằng thép không gỉ.Nếu bạn kéo thanh kéo nhiều lần, ba lưỡi dao sẽ quay nhanh và băm đều rau củ.Lưỡi dao bằng thép không gỉ kh...",96000,193000,,97000,50,2738,,available,,1000,1000,,48077,LocknLock
206485076,7914870955601,"Một nén hương - Một lòng thành kính. Một làn khói - Một tâm an. Hay đơn giản là sự thư giãn tịnh tâm sau 1 ngày dài làm việc căng thẳng.Bạn chọn làn khói thiên nhiên thuần khiết, làn khói an toàn cho...",27000,55000,,28000,51,97,,available,,1000,1000,,7486975,Dương Minh Since 1984
54484578,3821461114290,"MÔ TẢ SẢN PHẨM*LƯU Ý !!!: Sản phẩm có 03 phiên bản: Đèn không tích điện: cần phải cắm vào nguồn điện như: ổ điện, máy tính, sạc dự phòng mới có thể sử dụng đượcĐèn tích điện: tích hợp pin lithium...",224400,259000,,34600,13,1958,,available,,1000,1000,,835483,eLights
113224438,1069772000400,"Ruột gối nằm Microfiber LIDACO gối bông hạt 3d không xẹp lún️ Sản phẩm ruột gối nằm Microfiber LIDACO được sản xuất trên dây chuyền công nghệ hiện đại, kĩ thuật tiên tiến đảm bảo từng đường kim mũi c...",79000,125000,,46000,37,248,,available,,1000,1000,,697923,LIDACO
53789448,6888275518789,   BẠN MUỐN MUA THÊM SẢN PHẨM KHÁC CỦA PARROTI Bộ lau nhà ProMax - Size LớnThùng rác Parroti BinCọ bồn cầu Parroti Silicon Bộ cây lau nhà thông minh tự vắt Parroti ...,439000,799000,,360000,45,3599,,available,,1000,1000,,746615,Parroti
1657931,2083613875744,"Vợt Muỗi Sunhouse SHE-E250 có kiểu dáng gọn nhẹ với thiết kế lưới điện an toàn, được làm bằng 2 lớp lưới nhôm (bên ngoài) và 1 lớp lưới sắt (bên trong), giúp tiêu diệt muỗi nhanh chóng.Sản phẩm có kh...",81000,119000,,38000,32,1206,,available,,1000,1000,,41048,Sunhouse
115092053,6156159064709,"Theo các chuyên gia y tế, tối thiểu bạn nên thay ga giường, gối 1 lần/tuần. Bởi trên mặt ga giường, vỏ gối chứa vô số vi khuẩn từ tế bào chết trên da (cơ thể mất hàng triệu tế bào da mỗi ngày), phấn t...",89000,110000,,21000,19,554,,available,,1000,1000,,697923,LIDACO
